paper,doi,canonical,paper_term,relevance
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,metallization material,copper (Cu),1.0
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,sintering method,photonic curing / continuous-wave CO2 laser sintering,1.0
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,bulk resistivity,≈19 μΩ·cm,0.95
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,contact resistivity,≈35 mΩ·cm²,0.93
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,solar cell architecture,silicon heterojunction (SHJ),0.92
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,application domain,photovoltaic (PV) cell metallization,0.9
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,deposition method,microdispensing,0.88
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,oxidation challenge,oxidation of Cu requiring inert atmospheric conditions,0.88
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,substrate material,indium tin oxide (ITO)-coated crystalline silicon (c-Si) wafers,0.87
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,laser wavelength,10.6 μm (CO2 laser),0.85
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,metal grid geometry,Cu metal fingers / metal grid lines,0.85
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,ink particle scale,micro and nanoscale Cu particles,0.82
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,laser process parameters,optimized laser parameters,0.82
